iter	Logloss
0	0.4199913969
1	0.5025909385
2	0.6430305554
3	0.4242425874
4	0.5032996655
5	0.6418433364
6	0.4260083725
7	0.5034421897
8	0.6412196532
9	0.4375656154
10	0.503849224
11	0.6418617516
12	0.4437528284
13	0.5044656685
14	0.6418248361
15	0.4510553728
16	0.5055154945
17	0.6424301744
18	0.3451433434
19	0.4837313775
20	0.6362014394
21	0.3590096543
22	0.4856955348
23	0.636960121
24	0.3660886323
25	0.4873318944
26	0.6369119614
27	0.3956317268
28	0.4901859605
29	0.6379149899
30	0.4085682394
31	0.4927690336
32	0.6381690986
33	0.4265281131
34	0.4965316527
35	0.6404324713
36	0.2272421835
37	0.4467389445
38	0.6316335134
39	0.2561168786
40	0.4557045117
41	0.6308540236
42	0.2757001264
43	0.4595314696
44	0.6326566371
45	0.3388647549
46	0.472796605
47	0.6359306479
48	0.3622841122
49	0.4817810112
50	0.6375790605
51	0.3930988668
52	0.4914887615
53	0.6406505851
54	0.1152509669
55	0.3880783535
56	0.618282541
57	0.1504642145
58	0.4048314253
59	0.6231204158
60	0.1732037436
61	0.4131547703
62	0.6259730887
63	0.2636213528
64	0.4559129919
65	0.6341557003
66	0.3016465788
67	0.4709092242
68	0.6378694613
69	0.3447213373
70	0.4888184269
