iter	Passed	Remaining
0	18158	1942941
1	38584	2044997
2	60155	2105447
3	90340	2348858
4	113646	2341109
5	136508	2320637
6	161525	2330576
7	184316	2303958
8	210791	2318703
9	235356	2306494
10	265780	2343701
11	295038	2360310
12	329019	2404372
13	362253	2432273
14	393663	2440712
15	436995	2512722
16	477948	2558429
17	519340	2596704
18	589938	2763395
19	655441	2883943
20	722397	2992788
21	798787	3122531
22	868235	3208697
23	936612	3278145
24	1015101	3370136
25	1086721	3427351
26	1160319	3480957
27	1241853	3548152
28	1323666	3605849
29	1399966	3639912
30	1487125	3693826
31	1564907	3716656
32	1638315	3723444
33	1696429	3692229
34	1713577	3574033
35	1729994	3459988
36	1762869	3382803
37	1792232	3301481
38	1819793	3219634
39	1852714	3149615
40	1882469	3076230
41	1910992	3002987
42	1944214	2938928
43	1973487	2870527
44	2001100	2801540
45	2033018	2740155
46	2061954	2676154
47	2088935	2611169
48	2120284	2552995
49	2148661	2492446
50	2174726	2430576
51	2206590	2376328
52	2234113	2318419
53	2259185	2259185
54	2309592	2225607
55	2354801	2186601
56	2396067	2143849
57	2447388	2109817
58	2492713	2070219
59	2534012	2027209
60	2585479	1992091
61	2631059	1952076
62	2671471	1908193
63	2721151	1870791
64	2764170	1828604
65	2814192	1790850
66	2871206	1757006
67	2918767	1716921
68	2955669	1670595
69	3021351	1640162
70	3072448	1601134
